latitude,longitude
-0.6861831,38.2754004
-0.6863394,38.2759161
-0.6866215,38.2758696
-0.68664,38.2759363
-0.6866748,38.2760669
-0.6866967,38.276149
-0.6867259,38.2762585
-0.6867527,38.2763406
-0.686809,38.2763827
-0.6868279,38.2763967
-0.6869002,38.2764501
-0.6872918,38.2767133
-0.6873443,38.2768157
-0.6874463,38.2767988
-0.6876399,38.2769719
-0.6876106,38.2769769
-0.6876161,38.2769959
-0.687731,38.2773942
-0.6877352,38.2774087
-0.6878406,38.2776787
-0.6877301,38.2776953
-0.6877445,38.2777442
-0.6878032,38.2779434
-0.6879303,38.2783746
-0.6880026,38.2786199
